datset,strategy,data_name,coverage,mean_width,cwc,mwi,total_time,layer_size,ssc,cv_size,optimiser,bagging_fraction,dataset,normalised_mean_width
,split_resid_norm,real_datasets\yacht_hydro.csv,0.967741935,1.81E+119,-3.28E+117,1.81E+119,78.54121494,"(400, 2000, 2000, 2000)",[[0.84615385 1.         1.         1.         1.        ]],50,adam,1,yacht_hydro,
,jackknife_plus_ab,real_datasets\yacht_hydro.csv,0.951612903,35.04984228,0.364347193,48.64446575,1853.078372,"(400, 2000, 2000, 2000)",[[0.76923077 1.         1.         1.         1.        ]],50,adam,1,yacht_hydro,
,split,real_datasets\boston.csv,0.931372549,18.53013266,0.588218695,24.97529914,136.5873659,"(400, 2000, 2000, 2000)",999,50,adam,1,boston,
,split_resid_norm,real_datasets\boston.csv,0.911764706,38962564.35,-865833.6435,38962572.04,152.0484219,"(400, 2000, 2000, 2000)",[[0.57142857 1.         1.         1.         1.        ]],50,adam,1,boston,
,jackknife_plus_ab,real_datasets\boston.csv,0.911764706,15.13428579,0.663682446,22.86214203,3582.086253,"(400, 2000, 2000, 2000)",[[1.         0.95238095 0.95       0.9        0.75      ]],50,adam,1,boston,
,split_gamma,real_datasets\hour.csv,0.891829689,30.52891869,0.968720306,31.43003452,1033.730389,"(400, 2000, 2000, 2000)",[[0.59195402 0.86906475 0.99856115 1.         1.        ]],50,adam,1,hour,
,split_gamma,real_datasets\boston.csv,0.941176471,25.56246903,0.4319444,31.36041807,114.6125786,"(400, 2000, 2000, 2000)",[[0.85714286 0.9047619  1.         1.         0.95      ]],50,adam,1,boston,
,split_gamma,real_datasets\boston.csv,0.931372549,34.4043276,0.235459155,39.75999487,112.9323671,"(400, 2000, 2000, 2000)",[[0.95238095 0.95238095 0.95       0.95       0.85      ]],50,adam,1,boston,
,split_gamma,real_datasets\boston.csv,0.960784314,26.0412426,0.421304163,30.62472599,149.1813939,"(400, 2000, 2000, 2000)",[[0.85714286 0.95238095 1.         1.         1.        ]],50,adam,1,boston,
,split_gamma,real_datasets\concrete.csv,0.849514563,21.09322172,0.701523304,28.00282851,330.1568491,"(400, 2000, 2000, 2000)",[[0.83333333 0.85365854 0.82926829 0.80487805 0.92682927]],50,adam,1,concrete,
