strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size,optimiser,bagging_fraction
jackknife_plus_ab,linear,0.903333333,3.54997837,0.751443581,10976.31194,7.345620394,1,1000,normal,"(200, 1000)",[[0.88333333 0.93333333 0.9        0.9        0.9       ]],20,adam,0.1
jackknife_plus_ab,linear,0.91,0.187125009,0.981287401,19353.81001,17.26601338,0,1000,normal,"(200, 1000)",[[1.         1.         1.         0.73333333 0.81666667]],20,adam,0.3
jackknife_plus_ab,linear,0.916666667,0.691201415,0.933982359,18014.90604,18.07193041,0.2,1000,normal,"(200, 1000)",[[0.91666667 0.93333333 0.88333333 0.9        0.95      ]],20,adam,0.3
jackknife_plus_ab,linear,0.943333333,1.644584604,0.848152484,15489.6063,18.41836572,0.5,1000,normal,"(200, 1000)",[[0.95       0.96666667 0.93333333 0.95       0.91666667]],20,adam,0.3
jackknife_plus_ab,linear,0.893333333,3.338389584,0.74635248,12002.84992,17.50486636,1,1000,normal,"(200, 1000)",[[0.93333333 0.83333333 0.86666667 0.9        0.93333333]],20,adam,0.3
jackknife_plus_ab,linear,0.93,0.037699196,0.996229184,19928.71417,25.50708485,0,1000,normal,"(200, 1000)",[[1.         0.98333333 0.96666667 1.         0.7       ]],20,adam,0.5
jackknife_plus_ab,linear,0.923333333,0.648980584,0.934963474,18143.37501,25.98765707,0.2,1000,normal,"(200, 1000)",[[0.91666667 0.9        0.93333333 0.9        0.96666667]],20,adam,0.5
jackknife_plus_ab,linear,0.883333333,1.631308256,0.860580293,15521.31522,23.99540377,0.5,1000,normal,"(200, 1000)",[[0.8        0.95       0.83333333 0.91666667 0.91666667]],20,adam,0.5
jackknife_plus_ab,linear,0.873333333,3.380646556,0.763938131,12099.23818,23.52502179,1,1000,normal,"(200, 1000)",[[0.91666667 0.88333333 0.81666667 0.9        0.85      ]],20,adam,0.5
jackknife_plus_ab,linear,0.903333333,0.557981339,0.944201856,17824.85649,15.43973327,0,1000,normal,"(200, 1000)",[[1.         1.         1.         0.96666667 0.55      ]],50,adam,0.1
