strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size,optimiser,bagging_fraction,normalised_mean_width,num_features
split_resid_norm,linear_multi,0.976666667,11691.7531,-3968.083146,12222.75502,5.145379782,0.2,300,normal,"(200, 1000)",[[0.88333333 1.         1.         1.         1.        ]],50,adam,1,3969.10647,10
split_resid_norm,linear_multi,0.966666667,21.49842108,-6.298237844,1232.025614,4.150319099,0.5,300,normal,"(200, 1000)",[[0.83333333 1.         1.         1.         1.        ]],50,adam,1,7.298265836,10
split_resid_norm,linear_multi,0.993333333,0.783823018,0.733902031,2508.267296,4.946573973,1,300,normal,"(200, 1000)",[[0.96666667 1.         1.         1.         1.        ]],50,adam,1,0.266091576,10
jackknife_plus_ab,linear_multi,0.923333333,0.068788467,0.976647217,3812.591411,123.5431945,0,300,normal,"(200, 1000)",[[0.98333333 0.95       0.9        0.96666667 0.81666667]],50,adam,1,0.023352251,10
jackknife_plus_ab,linear_multi,0.916666667,0.070214951,0.976163217,3803.614593,118.0890341,0.2,300,normal,"(200, 1000)",[[0.96666667 0.93333333 0.93333333 0.93333333 0.81666667]],50,adam,1,0.023836512,10
jackknife_plus_ab,linear_multi,0.91,0.072855703,0.97526691,3794.870486,129.7524054,0.5,300,normal,"(200, 1000)",[[1.         1.         0.96666667 0.9        0.68333333]],50,adam,1,0.024732993,10
jackknife_plus_ab,linear_multi,0.91,0.074630996,0.974664235,3789.616296,138.3105452,1,300,normal,"(200, 1000)",[[1.         0.96666667 0.96666667 0.95       0.66666667]],50,adam,1,0.025335667,10
split,poly_multi,0.976666667,0.073392729,0.974806668,3843.6947,3.347497463,0,300,normal,"(200, 1000)",999,50,adam,1,0.025187603,3
split,poly_multi,0.706666667,0.030185771,0.989603575,3967.245588,3.790459871,0.2,300,normal,"(200, 1000)",999,50,adam,1,0.010359435,3
split,poly_multi,0.82,0.047819302,0.98358263,3916.25561,3.630031824,0.5,300,normal,"(200, 1000)",999,50,adam,1,0.016411075,3
split,poly_multi,0.87,0.094739828,0.96748543,3792.935384,3.956327915,1,300,normal,"(200, 1000)",999,50,adam,1,0.0325137,3
split_resid_norm,poly_multi,0.933333333,0.126764358,0.95649476,3685.033054,3.394013643,0,300,normal,"(200, 1000)",[[0.68333333 0.98333333 1.         1.         1.        ]],50,adam,1,0.043504177,3
split_resid_norm,poly_multi,0.933333333,1.096483379,0.623697893,2427.042519,4.114537001,0.2,300,normal,"(200, 1000)",[[0.66666667 1.         1.         1.         1.        ]],50,adam,1,0.376301414,3
split_resid_norm,poly_multi,0.943333333,0.100295839,0.965577723,3770.033909,3.8673985,0.5,300,normal,"(200, 1000)",[[0.85       0.86666667 1.         1.         1.        ]],50,adam,1,0.034420464,3
split_resid_norm,poly_multi,0.893333333,0.087070387,0.970118328,3801.89262,4.247656345,1,300,normal,"(200, 1000)",[[0.65       0.81666667 1.         1.         1.        ]],50,adam,1,0.029881629,3
jackknife_plus_ab,poly_multi,0.903333333,0.059177788,0.979690803,3876.669487,97.33540416,0,300,normal,"(200, 1000)",[[0.98333333 0.98333333 0.96666667 0.85       0.73333333]],50,adam,1,0.020309186,3
jackknife_plus_ab,poly_multi,0.896666667,0.063751452,0.97812117,3862.243051,96.70070624,0.2,300,normal,"(200, 1000)",[[0.81666667 0.95       0.93333333 0.91666667 0.86666667]],50,adam,1,0.021878819,3
jackknife_plus_ab,poly_multi,0.906666667,0.068288695,0.976564004,3848.866265,91.60943437,0.5,300,normal,"(200, 1000)",[[0.96666667 0.93333333 0.9        0.88333333 0.85      ]],50,adam,1,0.023435953,3
jackknife_plus_ab,poly_multi,0.91,0.059426272,0.979605439,3878.756556,97.58746028,1,300,normal,"(200, 1000)",[[1.         0.95       0.95       0.83333333 0.81666667]],50,adam,1,0.020394463,3
split,poly_multi,0.983333333,0.586696069,0.923808203,8196.238548,8.421277285,0,300,normal,"(200, 1000)",999,50,adam,1,0.076185382,5
split,poly_multi,0.91,0.369693095,0.951993431,8716.860034,7.723791599,0.2,300,normal,"(200, 1000)",999,50,adam,1,0.048006474,5
