strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size
cv,sinex_het,0.883333333,4.87228949,0.611893087,5902.743795,17.35382056,0,1000,normal,"(200, 1000)",999,5
cv,sinex_het,0.906666667,4.822531288,0.697290323,5790.896382,16.5696094,0.2,1000,normal,"(200, 1000)",999,5
cv,sinex_het,0.89,5.181217508,0.678523924,6229.864121,14.8701601,0.5,1000,normal,"(200, 1000)",999,5
cv,sinex_het,0.883333333,5.799043649,0.616031408,5479.272326,14.02528882,1,1000,normal,"(200, 1000)",999,5
cv_plus,sinex_het,0.883333333,4.903093916,0.609439332,5794.859733,16.95263696,0,1000,normal,"(200, 1000)",[[1.         0.98333333 0.81666667 0.88333333 0.73333333]],5
cv_plus,sinex_het,0.913333333,4.897235415,0.692601063,5721.277763,15.08997488,0.2,1000,normal,"(200, 1000)",[[0.81666667 0.9        0.95       0.96666667 0.93333333]],5
cv_plus,sinex_het,0.893333333,5.304782298,0.670857209,5771.101531,16.20209241,0.5,1000,normal,"(200, 1000)",[[0.78333333 0.78333333 0.96666667 0.95       0.98333333]],5
cv_plus,sinex_het,0.896666667,5.974020935,0.604445911,5146.514748,15.00486135,1,1000,normal,"(200, 1000)",[[1.         0.88333333 0.86666667 0.93333333 0.8       ]],5
cv,sinex_het,0.896666667,4.678513299,0.643888629,5884.046014,32.14210558,0,1000,normal,"(200, 1000)",999,10
cv,sinex_het,0.93,5.299764183,0.662431944,5256.946493,31.62009048,0.2,1000,normal,"(200, 1000)",999,10
cv,sinex_het,0.91,5.264917946,0.702514467,6039.680739,32.38106847,0.5,1000,normal,"(200, 1000)",999,10
cv,sinex_het,0.89,5.795553095,0.588574062,5516.665143,36.08833098,1,1000,normal,"(200, 1000)",999,10
cv_plus,sinex_het,0.906666667,4.831791981,0.632221593,5775.365802,28.78962159,0,1000,normal,"(200, 1000)",[[0.88333333 0.95       0.95       0.98333333 0.76666667]],10
cv_plus,sinex_het,0.933333333,5.558740892,0.645936351,4673.858332,31.26629066,0.2,1000,normal,"(200, 1000)",[[0.96666667 1.         0.95       0.9        0.85      ]],10
cv_plus,sinex_het,0.913333333,5.268420976,0.70231648,5694.017759,32.92446709,0.5,1000,normal,"(200, 1000)",[[0.91666667 0.91666667 0.96666667 0.95       0.81666667]],10
cv_plus,sinex_het,0.9,5.96444683,0.576584367,5200.995166,38.43058062,1,1000,normal,"(200, 1000)",[[0.98333333 0.98333333 0.88333333 0.85       0.8       ]],10
cv,sinex_het,0.913333333,5.010870454,0.678444853,5767.021284,63.1133678,0,1000,normal,"(200, 1000)",999,20
cv,sinex_het,0.886666667,5.04513338,0.599699477,4872.983097,59.9466939,0.2,1000,normal,"(200, 1000)",999,20
cv,sinex_het,0.88,5.034706235,0.697710411,5837.996445,65.7697258,0.5,1000,normal,"(200, 1000)",999,20
cv,sinex_het,0.913333333,5.86447931,0.616802375,5232.826483,65.98014975,1,1000,normal,"(200, 1000)",999,20
cv_plus,sinex_het,0.913333333,4.99699096,0.67933552,5623.308819,64.62461996,0,1000,normal,"(200, 1000)",[[1.         0.95       0.91666667 0.86666667 0.83333333]],20
cv_plus,sinex_het,0.906666667,5.128599831,0.593077006,4944.762916,63.08479857,0.2,1000,normal,"(200, 1000)",[[1.         0.93333333 0.95       0.88333333 0.76666667]],20
cv_plus,sinex_het,0.883333333,5.013097266,0.699007923,5985.973793,67.01101804,0.5,1000,normal,"(200, 1000)",[[0.9        0.86666667 0.9        0.86666667 0.88333333]],20
cv_plus,sinex_het,0.913333333,5.959278308,0.610608009,5096.638281,68.83269715,1,1000,normal,"(200, 1000)",[[0.98333333 0.95       0.9        0.9        0.83333333]],20
