strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size,optimiser,bagging_fraction
jackknife_plus_ab,linear,0.906666667,0.699482892,0.932965509,18045.66967,209.3560848,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.95       0.9        0.93333333 0.88333333 0.86666667]],5,lbfgs,0.3
jackknife_plus_ab,linear,0.906666667,1.610723231,0.862058855,15740.11594,213.1102209,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.91666667 0.91666667 0.9        0.86666667 0.93333333]],5,lbfgs,0.3
jackknife_plus_ab,linear,0.926666667,3.301389052,0.750461234,11733.86743,176.9003541,1,1000,normal,"(400, 2000, 2000, 2000)",[[0.9        0.95       0.9        1.         0.88333333]],5,lbfgs,0.3
jackknife_plus_ab,linear,0.946666667,0.021883171,0.99780951,19992.25421,244.0772705,0,1000,normal,"(400, 2000, 2000, 2000)",[[1.         1.         1.         1.         0.73333333]],5,lbfgs,0.5
jackknife_plus_ab,linear,0.89,0.671400853,0.934206104,18120.23251,267.4033184,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.88333333 0.88333333 0.93333333 0.86666667 0.88333333]],5,lbfgs,0.5
jackknife_plus_ab,linear,0.923333333,1.665443494,0.851311244,15491.38662,306.2295265,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.93333333 0.93333333 0.91666667 0.93333333 0.9       ]],5,lbfgs,0.5
jackknife_plus_ab,linear,0.9,3.343225448,0.758894512,12103.07414,275.7598937,1,1000,normal,"(400, 2000, 2000, 2000)",[[0.88333333 0.88333333 0.83333333 0.91666667 0.98333333]],5,lbfgs,0.5
jackknife_plus_ab,linear,0.896666667,1.408732239,0.859126767,14645.76895,102.100585,0,1000,normal,"(400, 2000, 2000, 2000)",[[1.         0.98333333 1.         0.98333333 0.51666667]],10,adam,0.1
jackknife_plus_ab,linear,0.913333333,1.859656885,0.826932314,13431.68586,101.9382236,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.85       0.86666667 0.98333333 0.95       0.91666667]],10,adam,0.1
jackknife_plus_ab,linear,0.906666667,2.186381364,0.815555046,12804.84858,111.1509302,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.9        0.96666667 0.91666667 0.88333333 0.86666667]],10,adam,0.1
jackknife_plus_ab,linear,0.906666667,3.459700518,0.73271745,10629.67981,150.1491556,1,1000,normal,"(400, 2000, 2000, 2000)",[[0.91666667 0.88333333 0.95       0.93333333 0.85      ]],10,adam,0.1
jackknife_plus_ab,linear,0.963333333,0.090963387,0.990899687,19761.83089,354.8122113,0,1000,normal,"(400, 2000, 2000, 2000)",[[1.         1.         1.         1.         0.81666667]],10,adam,0.3
jackknife_plus_ab,linear,0.92,0.675918727,0.935993591,18037.20115,349.6877506,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.93333333 0.88333333 0.93333333 0.93333333 0.91666667]],10,adam,0.3
jackknife_plus_ab,linear,0.91,1.673963741,0.847428028,15524.55599,332.6799395,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.93333333 0.93333333 0.93333333 0.9        0.85      ]],10,adam,0.3
jackknife_plus_ab,linear,0.883333333,3.211810254,0.754197003,11989.86383,319.4116693,1,1000,normal,"(400, 2000, 2000, 2000)",[[0.86666667 0.9        0.86666667 0.83333333 0.95      ]],10,adam,0.3
jackknife_plus_ab,linear,0.936666667,0.011043122,0.998894345,20031.84764,441.2875516,0,1000,normal,"(400, 2000, 2000, 2000)",[[1.         1.         1.         1.         0.68333333]],10,adam,0.5
jackknife_plus_ab,linear,0.88,0.649903099,0.936924595,18280.15842,438.0564873,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.91666667 0.83333333 0.85       0.9        0.9       ]],10,adam,0.5
jackknife_plus_ab,linear,0.886666667,1.653125436,0.85703293,15661.60027,485.7243903,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.88333333 0.9        0.88333333 0.88333333 0.88333333]],10,adam,0.5
jackknife_plus_ab,linear,0.93,3.320278481,0.768437397,12073.28725,390.6762369,1,1000,normal,"(400, 2000, 2000, 2000)",[[0.93333333 0.91666667 0.95       0.91666667 0.93333333]],10,adam,0.5
jackknife_plus_ab,linear,0.9,1.455796078,0.854420392,14503.08812,99.67077947,0,1000,normal,"(400, 2000, 2000, 2000)",[[1.  1.  1.  1.  0.5]],10,sgd,0.1
jackknife_plus_ab,linear,0.903333333,1.835577499,0.820696857,13455.67215,98.28891873,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.95       0.98333333 0.8        0.86666667 0.91666667]],10,sgd,0.1
jackknife_plus_ab,linear,0.926666667,2.277447224,0.79866226,12548.77369,102.9610839,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.98333333 0.93333333 0.95       0.86666667 0.9       ]],10,sgd,0.1
jackknife_plus_ab,linear,0.876666667,3.428634311,0.740711337,10826.4642,94.66394424,1,1000,normal,"(400, 2000, 2000, 2000)",[[0.88333333 0.83333333 0.81666667 0.88333333 0.96666667]],10,sgd,0.1
jackknife_plus_ab,linear,0.966666667,0.260961859,0.973899486,19091.64438,305.0954466,0,1000,normal,"(400, 2000, 2000, 2000)",[[1.         1.         1.         1.         0.83333333]],10,sgd,0.3
jackknife_plus_ab,linear,0.88,0.623914223,0.939360724,18219.73669,385.0699072,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.93333333 0.86666667 0.88333333 0.83333333 0.88333333]],10,sgd,0.3
jackknife_plus_ab,linear,0.906666667,1.669205845,0.85119077,15394.84801,350.9952278,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.96666667 0.88333333 0.85       0.9        0.93333333]],10,sgd,0.3
jackknife_plus_ab,linear,0.906666667,3.327423255,0.735197665,11691.78487,300.27719,1,1000,normal,"(400, 2000, 2000, 2000)",[[0.85       0.95       0.93333333 0.91666667 0.88333333]],10,sgd,0.3
