strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size,optimiser,bagging_fraction,normalised_mean_width,num_features
cv_plus,linear_multi,0.9033333333333332,1.811912838962453,-3.914830342342346,17.321257694179724,7.543601274490356,0.0,300,normal,"(200, 1000)",999,5,adam,1,4.914830385840461,3
cv_plus,linear_multi,0.9033333333333332,2.4798245077898127,-5.726546920506072,17.98916936300708,7.011799335479736,0.2,300,normal,"(200, 1000)",999,5,adam,1,6.726546984134372,3
cv_plus,linear_multi,0.9,3.4816920110308525,-8.444121881575239,18.991036866248194,7.093860387802124,0.5,300,normal,"(200, 1000)",999,5,adam,1,9.44412188157524,3
cv_plus,linear_multi,0.9,5.151471183099253,-12.973413377310017,20.660816038316725,8.531134366989136,1.0,300,normal,"(200, 1000)",999,5,adam,1,13.973413377310017,3
cv_plus,linear_multi,0.9033333333333332,0.975242889954765,0.3177519042917352,66.37618823966763,8.141014814376831,0.0,300,normal,"(200, 1000)",999,5,adam,1,0.682248092177688,5
cv_plus,linear_multi,0.9033333333333332,1.0072301052219677,0.295374692858122,67.89530726888167,8.363682508468628,0.2,300,normal,"(200, 1000)",999,5,adam,1,0.7046253038599369,5
cv_plus,linear_multi,0.9033333333333332,1.872694129413256,-0.3100756814785097,67.80864881288996,8.884324312210083,0.5,300,normal,"(200, 1000)",999,5,adam,1,1.3100756849237951,5
cv_plus,linear_multi,0.9033333333333332,3.3180788189961907,-1.3212196191900143,69.2540335024729,8.811739921569824,1.0,300,normal,"(200, 1000)",999,5,adam,1,2.3212196338702324,5
cv_plus,linear_multi,0.9033333333333332,5.045551014650274,-0.7128593904048667,123.08492217473976,8.79603624343872,0.0,300,normal,"(200, 1000)",999,5,adam,1,1.7128593983255267,10
cv_plus,linear_multi,0.9033333333333332,4.3350569214909465,-0.4716614582331078,122.37442808158043,8.697881937026978,0.2,300,normal,"(200, 1000)",999,5,adam,1,1.4716614634737908,10
cv_plus,linear_multi,0.9033333333333332,3.269315781751956,-0.1098645599754699,121.30868694184144,8.756524085998535,0.5,300,normal,"(200, 1000)",999,5,adam,1,1.1098645611961873,10
cv_plus,linear_multi,0.9033333333333332,1.911704606426284,0.3510161304265433,110.85482556866576,8.621610403060913,1.0,300,normal,"(200, 1000)",999,5,adam,1,0.6489838656732774,10
