strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size,optimiser,bagging_fraction,normalised_mean_width,num_features,active_function
jackknife_plus_ab,poly_multi,0.908,5.318240622247157,0.7382308148102522,12099.607033646262,34.52948522567749,0.5,500,normal,"(200, 1000)",[[0.96 0.95 0.94 0.91 0.78]],50,adam,1,0.2617691379429741,10,relu
cqr,poly_multi,0.902,4.408365950402668,0.7830158029322986,13720.943948557182,0.0664644241333007,0.5,500,normal,"(200, 1000)",[[0.91 0.87 0.92 0.92 0.89]],50,adam,1,0.2169841939356382,10,relu
split,non_linear_multi,0.92,0.121173125021289,0.8862100522854127,2037.1635694457348,1.2477123737335205,0.5,500,normal,"(200, 1000)",999,50,adam,1,0.1137895932304955,3,relu
split_resid_norm,non_linear_multi,0.908,0.2948880732538233,0.7230805138868113,1603.0454739792112,1.2337067127227783,0.5,500,normal,"(200, 1000)",[[0.73 0.82 0.99 1.   1.  ]],50,adam,1,0.2769194398360344,3,relu
jackknife_plus,non_linear_multi,0.92,0.0987784802958497,0.9072400991220416,2128.714751306922,341.26975440979004,0.5,500,normal,"(200, 1000)",[[0.87 0.97 0.91 0.95 0.9 ]],500,adam,1,0.0927595379818461,3,relu
jackknife_plus_ab,non_linear_multi,0.904,0.1001241669760197,0.90597675856571,2118.300379974047,33.67888331413269,0.5,500,normal,"(200, 1000)",[[0.96 0.96 0.93 0.83 0.84]],50,adam,1,0.0940232269386618,3,relu
cqr,non_linear_multi,0.902,0.1276239551276902,0.8801526463520782,1780.9723219940363,0.0535290241241455,0.5,500,normal,"(200, 1000)",[[0.78 0.92 0.9  0.95 0.96]],50,adam,1,0.1198473501273112,3,relu
split,non_linear_multi,0.888,0.3743066504911869,0.8563986890449807,3531.176329590607,1.2440052032470703,0.5,500,normal,"(200, 1000)",999,50,adam,1,0.1436011876335992,5,relu
split_resid_norm,non_linear_multi,0.922,0.6039086177694949,0.7683126019508265,2894.0232071505948,1.3234331607818604,0.5,500,normal,"(200, 1000)",[[0.66 0.95 1.   1.   1.  ]],50,adam,1,0.2316870261857841,5,relu
jackknife_plus,non_linear_multi,0.946,0.4519445269377632,0.826611615284242,3224.2447527807403,338.7615616321564,0.5,500,normal,"(200, 1000)",[[0.97 0.91 0.95 0.94 0.96]],500,adam,1,0.1733866356037295,5,relu
jackknife_plus_ab,non_linear_multi,0.898,0.3815508282044477,0.8536196103411362,3509.9834703532247,33.38875389099121,0.5,500,normal,"(200, 1000)",[[0.94 0.88 0.93 0.88 0.86]],50,adam,1,0.1463803862443853,5,relu
cqr,non_linear_multi,0.902,0.3830820196303537,0.8530321751296955,3195.736878659172,0.0639841556549072,0.5,500,normal,"(200, 1000)",[[0.77 0.88 0.93 0.98 0.95]],50,adam,1,0.1469678214581758,5,relu
split,non_linear_multi,0.896,1.1426862169199872,0.6850089091476922,3087.750226191324,1.2834093570709229,0.5,500,normal,"(200, 1000)",999,50,adam,1,0.314991079892165,10,relu
split_resid_norm,non_linear_multi,0.968,344.0212604468076,-93.83192405837988,877.0177118619821,1.269094944000244,0.5,500,normal,"(200, 1000)",[[0.84 1.   1.   1.   1.  ]],50,adam,1,94.83235793819986,10,relu
